url,title,price,lat,lon,listing_id,section_alias,category_alias,rooms_structured,area_m2_structured,photo_count,is_estate_verified,is_booking_enabled,rental_period,Город,Жилой комплекс,Этаж,Площадь,Кухня студия,Состояние квартиры,Возможности размещения,Часы пребывания,Удобства,Ванная комната,Кому подойдет квартира,Безопасность,Новостройка,Застройщик,scraped_at,Год постройки,Санузел,Квартира меблирована,Балкон остеклён,Тип дома,Дверь,Интернет,Телефон,Парковка,Балкон
https://krisha.kz/a/show/1013207423,"2-комнатная квартира · 50 м² · 3/12 этаж, Е-429 — Айтматова - Сыганак",18000,51.131434316719,71.358380589066,1013207423,arenda,kvartiry-posutochno,2,50.0,16,False,False,daily,"Астана, Нура р-н",Park City Forum,3 из 12,"50 м², Площадь кухни — 20 м²",да,"свежий ремонт, новая мебель","4 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","ванна, полотенца, халат, тапочки, фен, шампунь, гель для душа","некурящим, можно с детьми","домофон, видеодомофон, электронные замки, рядом есть парковка",False,SAT-NS,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/1014234857,"3-комнатная квартира · 84 м² · 2/28 этаж, Мангилик Ел 61 — Мега Экспо",30000,51.084532340884,71.421023726583,1014234857,arenda,kvartiry-posutochno,3,84.0,15,False,False,daily,"Астана, Есильский р-н",Nexpo Union,2 из 28,"84 м², Площадь кухни — 12 м²",,,"6 гостей, 2 кровати, 1 диван","Заезд 14:00, выезд 12:00","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт",,,"видеодомофон, электронные замки, рядом есть парковка",False,BI Group Юг,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/1009748759,"2-комнатная квартира · 47 м² · 5/10 этаж, Жубан Молдагалиев 3",20000,51.126433730996,71.363986730466,1009748759,arenda,kvartiry-posutochno,2,47.0,7,False,False,daily,"Астана, Нура р-н",Delta,5 из 10,47 м²,,"свежий ремонт, новая мебель","4 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","ванна, полотенца, шампунь","некурящим, могу сдать на ночь, можно с детьми","домофон, видеодомофон, рядом есть парковка",False,SAT-NS,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/1009749034,"1-комнатная квартира · 36 м² · 3/10 этаж, Санжара Асфендиярова 3",17000,51.132508,71.378444,1009749034,arenda,kvartiry-posutochno,1,36.0,5,False,False,daily,"Астана, Нура р-н",Sat City,3 из 10,36 м²,да,"свежий ремонт, новая мебель","3 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","ванна, полотенца, тапочки, фен, шампунь, гель для душа","некурящим, могу сдать на ночь, можно с детьми","домофон, электронные замки, рядом есть парковка",False,SAT-NS,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/1010512786,"2-комнатная квартира · 43 м² · 13/14 этаж, Санжара Асфендиярова 10",17000,51.136689320471,71.380878382432,1010512786,arenda,kvartiry-posutochno,2,43.0,13,False,False,daily,"Астана, Нура р-н",Sat City,13 из 14,43 м²,да,"свежий ремонт, новая мебель","3 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","ванна, полотенца, фен, шампунь, гель для душа",некурящим,"домофон, рядом есть парковка",False,SAT-NS,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/1014454783,"3-комнатная квартира · 80 м² · 6/12 этаж, Туран 59/2",40000,51.101807,71.39349,1014454783,arenda,kvartiry-posutochno,3,80.0,13,False,False,daily,Астана,,6 из 12,80 м²,,,8 гостей,"Заезд 14:00, выезд 12:00",,,,,False,,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/1001192849,"2-комнатная квартира · 44 м² · 4/12 этаж, ​Чингиз Айтматов 62/1 — Район Сарыарка/Набережная",25000,51.161285,71.376018,1001192849,arenda,kvartiry-posutochno,2,44.0,10,False,False,daily,"Астана, Есильский р-н",Madrid 2,4 из 12,44 м²,,"свежий ремонт, новая мебель","3 гостя, 1 кровать, 1 диван","Заезд 14:30, выезд 12:00","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","ванна, полотенца, тапочки, фен, шампунь, гель для душа",некурящим,"домофон, рядом есть парковка",False,G-Park,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/1009749638,"1-комнатная квартира · 36 м² · 8/10 этаж, Кабанбай батыра 46",17000,51.115230356209,71.4135490873,1009749638,arenda,kvartiry-posutochno,1,36.0,5,False,False,daily,"Астана, Есильский р-н",Времена года. Зима,8 из 10,36 м²,,"не новый, но аккуратный и чистый ремонт","4 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, кондиционер, лифт","ванна, полотенца, тапочки, шампунь, гель для душа","некурящим, могу сдать на ночь, можно с детьми","домофон, электронные замки, рядом есть парковка",False,BI Group Юг,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/689898739,"2-комнатная квартира · 42 м², Мангилик ел 40",15000,51.103296681919,71.430762695621,689898739,arenda,kvartiry-posutochno,2,42.0,8,False,False,daily,"Астана, Есильский р-н",,7,42 м²,,,"2 гостя, 1 кровать, 1 диван","Заезд 14:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда, лифт","ванна, полотенца, тапочки, фен","некурящим, могу сдать на ночь, можно с детьми, можно с животными",домофон,False,,2026-08-05T16:37:35+00:00,,,,,,,,,,
https://krisha.kz/a/show/690781476,"1-комнатная квартира · 30 м² · 2/5 этаж, Потанина — Московский магазин. золотой ключики победа",18000,51.183473,71.404477,690781476,arenda,kvartiry-posutochno,1,30.0,8,False,False,daily,"Астана, Сарыарка р-н",,2 из 5,30 м²,да,"свежий ремонт, новая мебель","4 гостя, 1 кровать, 1 диван","Заезд 13:00, выезд 12:00 (по договорённости)","интернет, телевизор, стиральная машина, микроволновая печь, утюг, посуда","ванна, полотенца, тапочки, гель для душа",можно с детьми,"домофон, рядом есть парковка",False,,2026-08-05T16:37:35+00:00,,,,,,,,,,
