url,title,price,lat,lon,listing_id,section_alias,category_alias,rooms_structured,area_m2_structured,photo_count,is_estate_verified,is_booking_enabled,rental_period,Город,Площадь,Новостройка,scraped_at,Жилой комплекс,Этаж,Кухня студия,Состояние квартиры,Квартира меблирована,Безопасность,Бывшее общежитие,Мебель,Удобства,Санузел,Количество санузлов,Ванная комната,Окна,Балкон,Кому подойдет квартира,Застройщик,Лоджия
https://krisha.kz/a/show/1014056842,"2-комнатная квартира · 40 м², Калдаякова 51",220000,51.1097594109,71.522286035429,1014056842,arenda,kvartiry,2,40.0,5,False,False,monthly,"Астана, Алматы р-н",40 м²,False,2026-08-05T15:50:55+00:00,,,,,,,,,,,,,,,,,
https://krisha.kz/a/show/697302587,"1-комнатная квартира · 30 м² · 10/22 этаж, Нажимеденова 10/2 — Тауелсиздик - Жумекен Нажимеденов",160000,51.119761,71.466182,697302587,arenda,kvartiry,1,30.0,11,False,False,monthly,"Астана, Алматы р-н",30 м²,False,2026-08-05T15:50:55+00:00,Гранд Астана,10 из 22,да,"не новый, но аккуратный и чистый ремонт",полностью,"охрана, домофон, видеонаблюдение",нет,"обеденный стол, шкаф для одежды, кухонный гарнитур, диван","стиральная машина, холодильник, пылесос, посуда, сушилка, лифт",совмещен,1,ванна,на улицу,1,"семейной паре, одному человеку, можно с детьми",Меркурий и К,
https://krisha.kz/a/show/1014231869,"1-комнатная квартира · 38 м² · 11/12 этаж, Тауелсыздык 25/1 — Куйши дина",240000,51.14324,71.459058,1014231869,arenda,kvartiry,1,38.0,6,False,False,monthly,"Астана, Алматы р-н",38 м²,False,2026-08-05T15:50:55+00:00,,11 из 12,,"свежий ремонт, новая мебель",полностью,,нет,"обеденный стол, шкаф для одежды, кухонный гарнитур, диван","стиральная машина, холодильник, микроволновая печь, сушилка, лифт",совмещен,,ванна,,1,"семейной паре, одному человеку",,
https://krisha.kz/a/show/1013503358,"4-комнатная квартира · 130 м² · 4/9 этаж, Туран 43 — Туран-Сыганак",1200000,51.125163544459,71.402010022615,1013503358,arenda,kvartiry,4,130.0,13,False,False,monthly,"Астана, Нура р-н","130 м², Площадь кухни — 19 м²",False,2026-08-05T15:50:55+00:00,Grand Turan Comfort,4 из 9,,"свежий ремонт, новая мебель",полностью,охрана,нет,,"интернет, телевизор, стиральная машина, холодильник, микроволновая печь, посудомоечная машина, кондиционер, пылесос, сушилка",разделен,2,"душевая кабина, ванна",,,некурящим,BI Group Юг,
https://krisha.kz/a/show/1014548900,"1-комнатная квартира · 34 м², Кошкарбаева",200000,51.12794836058,71.491583303597,1014548900,arenda,kvartiry,1,34.0,3,False,False,monthly,"Астана, Алматы р-н","34 м², Площадь кухни — 9 м²",False,2026-08-05T15:50:55+00:00,Айнаколь,12,,"не новый, но аккуратный и чистый ремонт",полностью,"охрана, домофон",нет,"обеденный стол, шкаф для одежды, кухонный гарнитур, диван","интернет, стиральная машина, холодильник, микроволновая печь, пылесос, лифт",совмещен,1,душевая кабина,на улицу,1,"семейной паре, некурящим, одному человеку, можно с детьми",NAK,
https://krisha.kz/a/show/1014553824,"2-комнатная квартира · 50 м² · 17/18 этаж, Сыганак 28 — Сыганак-Толе би",490000,51.12808688234,71.39150488793,1014553824,arenda,kvartiry,2,50.0,8,False,False,monthly,"Астана, Нура р-н",50 м²,False,2026-08-05T15:50:55+00:00,Eco Park,17 из 18,,"свежий ремонт, новая мебель",полностью,,нет,,,,,,,,,NAK,
https://krisha.kz/a/show/1007574338,"4-комнатная квартира · 150 м² · 2/3 этаж, мкр Уркер, ул. Нуркена Абдирова 54 — Достоевского",350000,51.131694,71.288352,1007574338,arenda,kvartiry,4,150.0,14,False,False,monthly,"Астана, Нура р-н","150 м², жилая — 125 м², Площадь кухни — 16 м²",False,2026-08-05T15:50:55+00:00,,2 из 3,да,"не новый, но аккуратный и чистый ремонт",полностью,кодовый замок,нет,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, рабочий стол, диван","интернет, телевизор, стиральная машина, холодильник, микроволновая печь, сушилка",разделен,2,"душевая кабина, ванна",во двор,нет,"семейной паре, некурящим, одному человеку, можно с детьми",,нет
https://krisha.kz/a/show/1014206237,"2-комнатная квартира · 42 м² · 7/9 этаж, Туран 42",220000,51.115361660861,71.401343597728,1014206237,arenda,kvartiry,2,42.0,5,False,False,monthly,"Астана, Есильский р-н",42 м²,False,2026-08-05T15:50:55+00:00,Sport City,7 из 9,,"не новый, но аккуратный и чистый ремонт",полностью,,нет,"кровать, обеденный стол","телевизор, холодильник, микроволновая печь, посудомоечная машина",,,,,,,FBK Курылыс,
https://krisha.kz/a/show/1003620784,"2-комнатная квартира · 41 м² · 3/12 этаж, Тауелсиздик 40 — Калба",300000,51.134183072272,71.469909035798,1003620784,arenda,kvartiry,2,41.0,18,False,False,monthly,"Астана, Алматы р-н","41 м², Площадь кухни — 9 м²",False,2026-08-05T15:50:55+00:00,Baitas,3 из 12,да,,полностью,,нет,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван",,совмещен,1,,,,"семейной паре, некурящим, одному человеку",Tumar Group,
https://krisha.kz/a/show/1014390027,"3-комнатная квартира · 120 м² · 6/8 этаж, Дукенулы 4",350000,51.178239,71.415679,1014390027,arenda,kvartiry,3,120.0,7,False,False,monthly,"Астана, Сарыарка р-н",120 м²,False,2026-08-05T15:50:55+00:00,Статус,6 из 8,,"свежий ремонт, новая мебель",полностью,"решетки на окнах, домофон, кодовый замок, сигнализация, видеонаблюдение",,"кровать, обеденный стол, шкаф для одежды, кухонный гарнитур, диван","телевизор, стиральная машина, холодильник, микроволновая печь, пылесос, посуда, кладовая, лифт",разделен,2,ванна,"во двор, на улицу",,"семейной паре, некурящим",Технополисжилстрой,1
